Player,Age,A group,Bat,B group,Height(inch),H group,Weight,W group,5thHR,5thC,10thHR,10thC,20thHR,20thC,30thHR,30thC,Team,League,HR
Drew Butera,36,2,R,0,73,1,200,1,49,0,49,0,49,0,49,0,COL,0,0
Mark Reynolds,36,2,R,0,73,1,200,1,162,0,162,0,162,0,162,0,COL,0,4
Charlie Culberson,30,2,R,0,73,1,200,1,138,1,144,0,144,0,144,0,ATL,0,5
Joey Wendle,29,1,L,1,73,1,200,1,263,0,263,0,263,0,263,0,TB,1,3
Kevin Kiermaier,29,1,L,1,73,1,200,1,164,1,286,1,480,0,480,0,TB,1,14
Drew Robinson,27,1,L,1,73,1,200,1,7,0,7,0,7,0,7,0,STL,0,0
Juan Soto,21,0,L,1,73,1,185,1,111,1,207,1,430,1,546,1,WAS,0,34
Tim Locastro,27,1,R,0,73,1,200,1,250,0,250,0,250,0,250,0,ARI,0,1
Humberto Arteaga,25,1,R,0,73,1,200,1,135,0,135,0,135,0,135,0,KC,1,0
Andrew Knizner,24,0,R,0,73,1,200,1,58,0,58,0,58,0,58,0,STL,0,2
Vladimir Guerrero Jr.,20,0,R,0,73,1,200,1,88,1,311,1,514,0,514,0,TOR,1,15
Mark Canha,30,2,R,0,73,1,198,1,65,1,124,1,358,1,497,0,OAK,1,26
Steven Duggar,26,1,L,1,73,1,198,1,281,0,281,0,281,0,281,0,SF,0,4
Eric Thames,33,2,L,1,73,1,197,1,49,1,182,1,381,1,459,0,MIL,0,25
Josh Rojas,25,1,L,1,73,1,197,1,157,0,157,0,157,0,157,0,ARI,0,2
Mikie Mahtook,29,1,R,0,73,1,196,1,25,0,25,0,25,0,25,0,DET,1,0
Jonathan Villar,28,1,B,2,73,1,196,1,196,1,337,1,567,1,713,0,BAL,1,24
Phil Gosselin,31,2,R,0,73,1,195,1,68,0,68,0,68,0,68,0,PHI,0,0
Ketel Marte,26,1,B,2,73,1,165,0,102,1,218,1,317,1,582,1,ARI,0,32
Ehire Adrianza,30,2,B,2,73,1,195,1,220,1,234,0,234,0,234,0,MIN,1,5
Whit Merrifield,30,2,R,0,73,1,195,1,153,1,329,1,735,0,735,0,KC,1,16
Aledmys Diaz,29,1,R,0,73,1,195,1,83,1,247,0,247,0,247,0,HOU,1,9
Andrew Knapp,28,1,B,2,73,1,195,1,160,0,160,0,160,0,160,0,PHI,0,2
Ji-Man Choi,28,1,L,1,73,1,195,1,182,1,317,1,487,0,487,0,TB,1,19
Jordan Luplow,26,1,R,0,73,1,195,1,69,1,179,1,261,0,261,0,CLE,1,15
Billy McKinney,25,1,L,1,73,1,195,1,166,1,259,1,276,0,276,0,TOR,1,12
Kole Calhoun,32,2,L,1,70,1,200,1,99,1,197,1,368,1,569,1,LAA,1,33
Jake Bauers,24,0,L,1,73,1,195,1,170,1,279,1,423,0,423,0,CLE,1,12
Kris Bryant,27,1,R,0,77,2,215,1,142,1,190,1,398,1,606,1,CHC,0,31
Randy Arozarena,24,0,B,2,73,1,195,1,23,0,23,0,23,0,23,0,STL,0,1
Reese McGuire,24,0,L,1,73,1,195,1,67,1,104,0,104,0,104,0,TOR,1,5
Adam Haseley,23,0,L,1,73,1,195,1,179,1,242,0,242,0,242,0,PHI,0,5
Deven Marrero,29,1,R,0,73,1,194,1,5,0,5,0,5,0,5,0,MIA,0,0
Austin Slater,26,1,R,0,73,1,194,1,144,1,192,0,192,0,192,0,SF,0,5
Kyle Schwarber,26,1,L,1,72,1,220,2,91,1,201,1,366,1,487,1,CHC,0,38
A.J. Pollock,31,2,R,0,73,1,193,1,134,1,245,1,342,0,342,0,LAD,0,15
Joe Panik,29,1,L,1,73,1,193,1,491,0,491,0,491,0,491,0,SF,0,3
Starling Marte,31,2,R,0,73,1,190,1,171,1,259,1,448,1,586,0,PIT,0,23
Kyle Higashioka,29,1,R,0,73,1,190,1,57,0,57,0,57,0,57,0,NYY,1,3
Mike Zunino,28,1,R,0,73,1,190,1,185,1,289,0,289,0,289,0,TB,1,9
Austin Hedges,27,1,R,0,73,1,190,1,123,1,283,1,347,0,347,0,SD,0,11
Austin Dean,26,1,R,0,73,1,190,1,161,1,189,0,189,0,189,0,MIA,0,6
Braden Bishop,26,1,R,0,73,1,190,1,60,0,60,0,60,0,60,0,SEA,1,0
Cheslor Cuthbert,26,1,R,0,73,1,190,1,134,1,330,0,330,0,330,0,KC,1,9
Kevin Kramer,26,1,L,1,73,1,190,1,50,0,50,0,50,0,50,0,PIT,0,0
Dansby Swanson,25,1,R,0,73,1,190,1,73,1,210,1,545,0,545,0,ATL,0,17
Jaylin Davis,25,1,R,0,73,1,190,1,47,0,47,0,47,0,47,0,SF,0,1
Jake Rogers,24,0,R,0,73,1,190,1,128,0,128,0,128,0,128,0,DET,1,4
Kyle Seager,32,2,L,1,73,1,187,1,120,1,241,1,357,1,443,0,SEA,1,23
Jonathan Schoop,28,1,R,0,73,1,187,1,99,1,173,1,388,1,464,0,MIN,1,23
Stevie Wilkerson,27,1,B,2,73,1,185,1,90,1,273,1,361,0,361,0,BAL,1,10
Taylor Ward,25,1,R,0,73,1,185,1,48,0,48,0,48,0,48,0,LAA,1,1
Didi Gregorius,29,1,L,1,73,1,183,1,110,1,213,1,344,0,344,0,NYY,1,16
Peter Bourjos,32,2,R,0,73,1,180,1,46,0,46,0,46,0,46,0,LAA,1,0
Maikel Franco,27,1,R,0,73,1,180,1,60,1,253,1,428,0,428,0,PHI,0,17
Kevin Newman,26,1,R,0,73,1,180,1,207,1,431,1,531,0,531,0,PIT,0,12
Tim Anderson,26,1,R,0,73,1,180,1,90,1,237,1,518,0,518,0,CWS,1,18
Manny Machado,27,1,R,0,75,2,215,1,124,1,247,1,349,1,615,1,SD,0,32
Jeimer Candelario,25,1,B,2,73,1,180,1,219,1,386,0,386,0,386,0,DET,1,8
Rio Ruiz,25,1,L,1,73,1,180,1,257,1,347,1,413,0,413,0,BAL,1,12
Tyler Wade,24,0,L,1,73,1,180,1,108,0,108,0,108,0,108,0,NYY,1,2
Rocky Gale,31,2,R,0,73,1,176,0,15,0,15,0,15,0,15,0,LAD,0,0
Marcus Semien,29,1,R,0,72,1,195,1,204,1,325,1,571,1,713,1,OAK,1,33
Francisco Cervelli,33,2,R,0,73,1,175,0,160,0,160,0,160,0,160,0,ATL,0,2
Tommy Pham,31,2,R,0,73,1,175,0,151,1,291,1,556,1,654,0,TB,1,21
Willson Contreras,27,1,R,0,73,1,175,0,41,1,135,1,344,1,409,0,CHC,0,24
Yu Chang,24,0,R,0,73,1,175,0,84,0,84,0,84,0,84,0,CLE,1,1
Trea Turner,26,1,R,0,73,1,170,0,123,1,342,1,569,0,569,0,WAS,0,19
Skye Bolt,25,1,B,2,73,1,170,0,11,0,11,0,11,0,11,0,OAK,1,0
Richard Urena,23,0,B,2,73,1,170,0,80,0,80,0,80,0,80,0,TOR,1,0
Adalberto Mondesi,24,0,B,2,73,1,165,0,156,1,443,0,443,0,443,0,KC,1,9
Yairo Munoz,24,0,R,0,73,1,165,0,181,0,181,0,181,0,181,0,STL,0,2
Willi Castro,22,0,B,2,73,1,165,0,110,0,110,0,110,0,110,0,DET,1,1
Matt Chapman,26,1,R,0,74,1,205,1,77,1,171,1,356,1,540,1,OAK,1,36
David Peralta,32,2,L,1,73,1,160,0,146,1,368,1,423,0,423,0,ARI,0,12
Jeff McNeil,27,1,L,1,73,1,160,0,258,1,375,1,437,1,567,0,NYM,0,23
Jose Rondon,25,1,R,0,73,1,160,0,157,0,157,0,157,0,157,0,CWS,1,3
Matt Olson,25,1,L,1,76,2,236,2,71,1,138,1,255,1,468,1,OAK,1,36
Mitch Moreland,34,2,L,1,74,1,230,2,45,1,122,1,335,0,335,0,BOS,1,19
John Hicks,30,2,R,0,74,1,230,2,209,1,281,1,333,0,333,0,DET,1,13
Austin Riley,22,0,R,0,74,1,230,2,38,1,113,1,297,0,297,0,ATL,0,18
Brandon Crawford,32,2,L,1,74,1,227,2,214,1,454,1,560,0,560,0,SF,0,11
Max Kepler,26,1,L,1,76,2,220,2,90,1,203,1,334,1,468,1,MIN,1,36
David Freese,36,2,R,0,74,1,225,2,101,1,165,1,186,0,186,0,LAD,0,11
Max Muncy,29,1,L,1,72,1,190,1,74,1,182,1,325,1,494,1,LAD,0,35
Starlin Castro,29,1,R,0,74,1,225,2,299,1,476,1,634,1,676,0,MIA,0,22
Christian Walker,28,1,R,0,74,1,225,2,57,1,219,1,400,1,603,0,ARI,0,29
Daniel Palka,28,1,L,1,74,1,225,2,93,0,93,0,93,0,93,0,CWS,1,2
Zach Green,25,1,R,0,74,1,224,2,16,0,16,0,16,0,16,0,SF,0,0
Joey Votto,36,2,L,1,74,1,220,2,242,1,425,1,608,0,608,0,CIN,0,15
Michael Conforto,26,1,L,1,73,1,215,1,83,1,194,1,410,1,587,1,NYM,0,33
Mike Tauchman,28,1,L,1,74,1,220,2,132,1,194,1,296,0,296,0,NYY,1,13
Aramis Garcia,26,1,R,0,74,1,220,2,46,0,46,0,46,0,46,0,SF,0,2
Jake Noll,25,1,R,0,74,1,218,1,13,0,13,0,13,0,13,0,WAS,0,0
Seth Mejias-Brean,28,1,R,0,74,1,216,1,33,0,33,0,33,0,33,0,SD,0,2
Adam Jones,34,2,R,0,74,1,215,1,80,1,206,1,527,0,527,0,ARI,0,16
Yan Gomes,32,2,R,0,74,1,215,1,223,1,307,1,358,0,358,0,WAS,0,12
Ryan Court,31,2,R,0,74,1,215,1,25,0,25,0,25,0,25,0,SEA,1,1
Miguel Sano,26,1,R,0,75,2,195,1,33,1,137,1,292,1,411,1,MIN,1,34
Kevin Plawecki,28,1,R,0,74,1,215,1,174,0,174,0,174,0,174,0,CLE,1,3
Adam Engel,27,1,R,0,74,1,215,1,210,1,248,0,248,0,248,0,CWS,1,6
Brandon Dixon,27,1,R,0,74,1,215,1,75,1,167,1,420,0,420,0,DET,1,15
Brian O'Grady,27,1,L,1,74,1,215,1,48,0,48,0,48,0,48,0,CIN,0,2
Mike Moustakas,31,2,L,1,72,1,215,1,59,1,158,1,266,1,495,1,MIL,0,35
J.D. Davis,26,1,R,0,74,1,215,1,118,1,259,1,429,1,453,0,NYM,0,22
Mike Trout,28,1,R,0,74,1,235,2,43,1,186,1,308,1,401,1,LAA,1,45
Josh Fuentes,26,1,R,0,74,1,215,1,56,0,56,0,56,0,56,0,COL,0,3
Danny Jansen,24,0,R,0,74,1,215,1,216,1,309,1,384,0,384,0,TOR,1,13
Alex Jackson,23,0,R,0,74,1,215,1,15,0,15,0,15,0,15,0,ATL,0,0
Mitch Garver,28,1,R,0,73,1,220,2,35,1,111,1,230,1,321,1,MIN,1,31
Evan Longoria,34,2,R,0,74,1,213,1,123,1,287,1,493,1,508,0,SF,0,20
Ryan Zimmerman,35,2,R,0,74,1,210,1,146,1,190,0,190,0,190,0,WAS,0,6
Jim Adduci,34,2,L,1,74,1,210,1,5,0,5,0,5,0,5,0,CHC,0,0
Michael Brantley,32,2,L,1,74,1,210,1,102,1,163,1,571,1,637,0,HOU,1,22
Corey Dickerson,30,2,L,1,74,1,210,1,148,1,272,1,279,0,279,0,PHI,0,8
Patrick Wisdom,28,1,R,0,74,1,210,1,28,0,28,0,28,0,28,0,TEX,1,0
Ryan Braun,35,2,R,0,74,1,207,1,81,1,216,1,477,1,504,0,MIL,0,22
Nelson Cruz,39,2,R,0,75,2,175,0,78,1,103,1,311,1,352,1,MIN,1,41
Lorenzo Cain,33,2,R,0,74,1,205,1,353,1,595,1,622,0,622,0,MIL,0,11
Justin Upton,32,2,R,0,74,1,205,1,113,1,228,1,256,0,256,0,LAA,1,12
Logan Morrison,32,2,L,1,74,1,205,1,38,0,38,0,38,0,38,0,PHI,0,2
Leonys Martin,31,2,L,1,74,1,205,1,105,1,264,0,264,0,264,0,CLE,1,9
Rob Brantly,30,2,L,1,74,1,205,1,1,0,1,0,1,0,1,0,PHI,0,0
Austin Wynns,28,1,R,0,74,1,205,1,74,0,74,0,74,0,74,0,BAL,1,1
Yoan Moncada,24,0,B,2,74,1,205,1,70,1,232,1,404,1,559,0,CWS,1,25
Mitch Haniger,28,1,R,0,74,1,204,1,84,1,191,1,283,0,283,0,SEA,1,15
Matt Joyce,35,2,L,1,74,1,200,1,166,1,238,0,238,0,238,0,ATL,0,7
Anthony Bemboom,29,1,L,1,74,1,200,1,60,0,60,0,60,0,60,0,LAA,1,1
Drew Jackson,26,1,R,0,74,1,200,1,4,0,4,0,4,0,4,0,BAL,1,0
Pedro Severino,26,1,R,0,74,1,200,1,69,1,220,1,341,0,341,0,BAL,1,13
Carson Kelly,25,1,R,0,74,1,200,1,107,1,193,1,365,0,365,0,ARI,0,18
Nolan Arenado,28,1,R,0,74,1,215,1,112,1,162,1,391,1,506,1,COL,0,41
Cameron Maybin,32,2,R,0,74,1,196,1,124,1,259,1,269,0,269,0,NYY,1,11
Nicky Delmonico,27,1,L,1,74,1,196,1,68,0,68,0,68,0,68,0,CWS,1,1
Nick Ahmed,29,1,R,0,74,1,195,1,272,1,408,1,625,0,625,0,ARI,0,19
Chance Sisco,24,0,L,1,74,1,193,1,58,1,198,0,198,0,198,0,BAL,1,8
Chad Pinder,27,1,R,0,74,1,192,1,128,1,246,1,370,0,370,0,OAK,1,13
Isaac Galloway,30,2,R,0,74,1,190,1,54,0,54,0,54,0,54,0,MIA,0,0
Marcell Ozuna,28,1,R,0,74,1,190,1,53,1,101,1,346,1,549,0,STL,0,29
Noel Cuevas,28,1,R,0,74,1,190,1,2,0,2,0,2,0,2,0,COL,0,0
Tyler Naquin,28,1,L,1,74,1,190,1,146,1,239,1,294,0,294,0,CLE,1,10
Brandon Drury,27,1,R,0,74,1,190,1,106,1,295,1,447,0,447,0,TOR,1,15
Paul DeJong,26,1,R,0,73,1,195,1,104,1,262,1,491,1,660,1,STL,0,30
Paul Goldschmidt,32,2,R,0,75,2,215,1,33,1,183,1,421,1,612,1,STL,0,34
Anthony Santander,25,1,B,2,74,1,190,1,146,1,249,1,391,1,405,0,BAL,1,20
Pete Alonso,24,0,R,0,74,1,225,2,42,1,139,1,244,1,376,1,NYM,0,53
Byron Buxton,25,1,R,0,74,1,190,1,177,1,284,1,295,0,295,0,MIN,1,10
Yonathan Daza,25,1,R,0,74,1,190,1,105,0,105,0,105,0,105,0,COL,0,0
Cavan Biggio,24,0,L,1,74,1,190,1,74,1,247,1,429,0,429,0,TOR,1,16
Amed Rosario,23,0,R,0,74,1,190,1,196,1,371,1,655,0,655,0,NYM,0,15
Rafael Devers,23,0,L,1,72,1,195,1,195,1,287,1,413,1,642,1,BOS,1,32
