Player,Age,A group,Bat,B group,Height(inch),H group,Weight,W group,5thHR,5thC,10thHR,10thC,20thHR,20thC,30thHR,30thC,Team,League,HR
Brian McCann,35,2,L,1,75,2,190,1,129,1,221,1,316,0,316,0,ATL,0,12
Jarrett Parker,30,2,L,1,75,2,190,1,15,0,15,0,15,0,15,0,LAA,1,0
Travis Jankowski,28,1,L,1,75,2,190,1,24,0,24,0,24,0,24,0,SD,0,0
Wil Myers,28,1,R,0,75,2,190,1,68,1,178,1,490,0,490,0,SD,0,18
Kaleb Cowart,27,1,B,2,75,2,190,1,26,0,26,0,26,0,26,0,LAA,1,0
Mitch Walding,27,1,L,1,75,2,190,1,2,0,2,0,2,0,2,0,PHI,0,0
Cole Tucker,23,0,B,2,75,2,185,1,159,0,159,0,159,0,159,0,PIT,0,2
Fernando Tatis Jr.,20,0,R,0,75,2,185,1,64,1,195,1,339,1,372,0,SD,0,22
Caleb Joseph,33,2,R,0,75,2,180,1,41,0,41,0,41,0,41,0,ARI,0,0
JT Riddle,28,1,L,1,75,2,180,1,97,1,139,0,139,0,139,0,MIA,0,6
Rosell Herrera,27,1,B,2,75,2,180,1,119,0,119,0,119,0,119,0,MIA,0,2
Yadiel Rivera,27,1,R,0,75,2,180,1,66,0,66,0,66,0,66,0,MIA,0,0
Franchy Cordero,25,1,L,1,75,2,175,0,20,0,20,0,20,0,20,0,SD,0,0
Victor Reyes,25,1,B,2,75,2,170,0,292,0,292,0,292,0,292,0,DET,1,3
Justin Bour,31,2,L,1,76,2,250,2,116,1,170,0,170,0,170,0,LAA,1,8
Miguel Cabrera,36,2,R,0,76,2,249,2,305,1,479,1,549,0,549,0,DET,1,12
Tyler Flowers,33,2,R,0,76,2,245,2,102,1,262,1,310,0,310,0,ATL,0,11
AJ Reed,26,1,L,1,76,2,240,2,49,0,49,0,49,0,49,0,CWS,1,1
Rhys Hoskins,26,1,R,0,76,2,240,2,39,1,135,1,392,1,703,0,PHI,0,29
C.J. Cron,29,1,R,0,76,2,235,2,80,1,155,1,404,1,499,0,MIN,1,25
Nate Lowe,24,0,L,1,76,2,235,2,67,1,169,0,169,0,169,0,TB,1,7
Eric Hosmer,30,2,L,1,76,2,232,2,120,1,250,1,554,1,667,0,SD,0,22
Avisail Garcia,28,1,R,0,76,2,232,2,125,1,193,1,524,1,530,0,TB,1,20
Kevan Smith,31,2,R,0,76,2,230,2,191,1,211,0,211,0,211,0,LAA,1,5
Ryan Lavarnway,32,2,R,0,76,2,225,2,19,0,19,0,19,0,19,0,CIN,0,2
Peter O'Brien,29,1,R,0,76,2,225,2,47,0,47,0,47,0,47,0,MIA,0,1
Trevor Story,26,1,R,0,73,1,175,0,86,1,224,1,436,1,613,1,COL,0,35
Trey Mancini,27,1,R,0,76,2,215,1,44,1,182,1,394,1,607,1,BAL,1,35
Austin Allen,25,1,L,1,76,2,225,2,71,0,71,0,71,0,71,0,SD,0,0
Ronald Guzman,25,1,L,1,76,2,225,2,86,1,270,1,295,0,295,0,TEX,1,10
Mark Trumbo,33,2,R,0,76,2,220,2,31,0,31,0,31,0,31,0,BAL,1,0
Todd Frazier,33,2,R,0,76,2,220,2,134,1,215,1,450,1,499,0,NYM,0,21
Justin Smoak,32,2,B,2,76,2,220,2,82,1,206,1,437,1,500,0,TOR,1,22
DJ LeMahieu,31,2,R,0,76,2,220,2,216,1,316,1,497,1,655,0,NYY,1,26
Matt Skole,30,2,L,1,76,2,220,2,80,0,80,0,80,0,80,0,CWS,1,0
Jacob Stallings,29,1,R,0,76,2,220,2,174,1,210,0,210,0,210,0,PIT,0,6
Hunter Dozier,28,1,R,0,76,2,220,2,67,1,185,1,395,1,586,0,KC,1,26
Aristides Aquino,25,1,R,0,76,2,220,2,30,1,55,1,225,0,225,0,CIN,0,19
Rowdy Tellez,24,0,L,1,76,2,220,2,66,1,200,1,362,1,409,0,TOR,1,21
Hunter Pence,36,2,R,0,76,2,210,1,73,1,121,1,316,0,316,0,TEX,1,18
Matt Kemp,35,2,R,0,76,2,210,1,62,0,62,0,62,0,62,0,CIN,0,1
Colin Moran,27,1,L,1,76,2,205,1,149,1,206,1,503,0,503,0,PIT,0,13
Corey Seager,25,1,L,1,76,2,205,1,209,1,384,1,541,0,541,0,LAD,0,19
Kyle Lewis,24,0,R,0,76,2,205,1,36,1,75,0,75,0,75,0,SEA,1,6
Gregory Polanco,28,1,L,1,76,2,204,1,99,1,166,0,166,0,166,0,PIT,0,6
Jake Marisnick,28,1,R,0,76,2,200,1,88,1,287,1,318,0,318,0,HOU,1,10
Ryan Cordell,27,1,R,0,76,2,200,1,151,1,247,0,247,0,247,0,CWS,1,7
Shohei Ohtani,25,1,L,1,76,2,200,1,111,1,182,1,423,0,423,0,LAA,1,18
Carlos Gomez,33,2,R,0,76,2,195,1,99,0,99,0,99,0,99,0,NYM,0,3
Nomar Mazara,24,0,L,1,76,2,195,1,91,1,288,1,469,0,469,0,TEX,1,19
Carlos Correa,25,1,R,0,76,2,190,1,90,1,167,1,314,1,321,0,HOU,1,21
Kyle Tucker,22,0,L,1,76,2,190,1,72,0,72,0,72,0,72,0,HOU,1,4
Bubba Starling,27,1,R,0,76,2,180,1,197,0,197,0,197,0,197,0,KC,1,4
Kevin Cron,26,1,R,0,77,2,245,2,64,1,78,0,78,0,78,0,ARI,0,6
Lucas Duda,33,2,L,1,77,2,240,2,119,0,119,0,119,0,119,0,KC,1,4
Jason Heyward,30,2,L,1,77,2,240,2,80,1,250,1,536,1,589,0,CHC,0,21
Matt Wieters,33,2,B,2,77,2,230,2,77,1,142,1,183,0,183,0,STL,0,11
Xander Bogaerts,27,1,R,0,75,2,175,0,139,1,234,1,396,1,476,1,BOS,1,33
Garrett Cooper,28,1,R,0,77,2,230,2,95,1,221,1,421,0,421,0,MIA,0,15
Joey Gallo,25,1,L,1,77,2,230,2,56,1,109,1,237,1,297,0,TEX,1,22
Ryon Healy,27,1,R,0,77,2,225,2,90,1,187,0,187,0,187,0,SEA,1,7
Sam Hilliard,25,1,L,1,77,2,225,2,52,1,87,0,87,0,87,0,COL,0,7
Yordan Alvarez,22,0,L,1,77,2,225,2,41,1,120,1,257,1,369,0,HOU,1,27
Domingo Santana,27,1,R,0,77,2,224,2,107,1,222,1,441,1,505,0,SEA,1,21
Aaron Altherr,28,1,R,0,77,2,220,2,66,0,66,0,66,0,35,0,NYM,0,1
Giancarlo Stanton,30,2,R,0,77,2,215,1,72,0,72,0,72,0,72,0,NYY,1,3
Lewis Brinson,25,1,R,0,77,2,214,1,248,0,248,0,248,0,248,0,MIA,0,0
Brandon Belt,31,2,L,1,77,2,210,1,90,1,293,1,616,0,616,0,SF,0,17
Dexter Fowler,33,2,B,2,77,2,205,1,186,1,272,1,574,0,574,0,STL,0,19
Bradley Zimmer,26,1,L,1,77,2,205,1,14,0,14,0,14,0,14,0,CLE,1,0
Grayson Greiner,27,1,R,0,78,2,239,2,147,1,224,0,224,0,224,0,DET,1,5
Yuli Gurriel,35,2,R,0,72,1,190,1,263,1,335,1,408,1,585,1,HOU,1,31
Dylan Cozens,25,1,L,1,78,2,235,2,1,0,1,0,1,0,1,0,PHI,0,0
Jose Martinez,31,2,R,0,78,2,215,1,218,1,296,1,373,0,373,0,STL,0,10
Aaron Judge,27,1,R,0,79,2,230,2,89,1,165,1,369,1,446,0,NYY,1,27
