"","date","data"
"1",12 2013,85
"2",10 2014,111.322580645161
"3",11 2014,100.366666666667
"4",12 2014,82.258064516129
"5",1 2014,92.741935483871
"6",2 2014,110.428571428571
"7",3 2014,91.5161290322581
"8",4 2014,97.1333333333333
"9",5 2014,88.1290322580645
"10",6 2014,68.9
"11",7 2014,77.741935483871
"12",8 2014,70.1290322580645
"13",9 2014,70.3
"14",10 2015,72.4193548387097
"15",11 2015,102.85
"16",12 2015,120.193548387097
"17",1 2015,90.1290322580645
"18",2 2015,88.5
"19",3 2015,96.0645161290323
"20",4 2015,79.9
"21",5 2015,70.258064516129
"22",6 2015,59.6
"23",7 2015,58.7096774193548
"24",8 2015,48.6774193548387
"25",9 2015,49.9666666666667
"26",10 2016,75.5806451612903
"27",11 2016,96.4
"28",12 2016,130.645161290323
"29",1 2016,45.9193548387097
"30",2 2016,46.1034482758621
"31",3 2016,82.4838709677419
"32",4 2016,70.9333333333333
"33",5 2016,61.1935483870968
"34",6 2016,53.15
"35",7 2016,52.3548387096774
"36",8 2016,46.258064516129
"37",9 2016,59.3333333333333
"38",10 2017,51.4516129032258
"39",11 2017,55.5333333333333
"40",12 2017,53.3225806451613
"41",1 2017,102.790322580645
"42",2 2017,65.25
"43",3 2017,65.8064516129032
"44",4 2017,80.1333333333333
"45",5 2017,106.451612903226
"46",6 2017,58.6
"47",7 2017,55.5806451612903
"48",8 2017,48.5483870967742
"49",9 2017,64.4666666666667
"50",10 2018,51.4193548387097
"51",11 2018,76.4666666666667
"52",12 2018,60.3709677419355
"53",1 2018,50.3870967741936
"54",2 2018,59.9642857142857
"55",3 2018,105.758064516129
"56",4 2018,87.1666666666667
"57",5 2018,79.741935483871
"58",6 2018,57.1333333333333
"59",7 2018,54.8709677419355
"60",8 2018,45.4838709677419
"61",9 2018,40.3666666666667
"62",10 2019,57.8548387096774
"63",11 2019,63.3333333333333
"64",12 2019,54.2258064516129
"65",1 2019,68.8709677419355
"66",2 2019,60.2142857142857
"67",3 2019,59.0322580645161
"68",4 2019,72.4
"69",5 2019,64.9354838709677
"70",6 2019,54.7333333333333
"71",7 2019,50.1935483870968
"72",8 2019,38.6451612903226
"73",9 2019,54.5333333333333
"74",1 2020,49.9354838709677
"75",2 2020,28.9827586206897
"76",3 2020,45.6935483870968
"77",4 2020,59.5666666666667
"78",5 2020,60.35
