월,일,평균 기온
12,19,-0.9
12,20,2.8
12,21,5.3
12,22,4.9
12,23,-1.3
12,24,-3.2
12,25,0.7
12,26,-1.7
12,27,2.7
12,28,3.4
12,29,5.5
12,30,0.3
12,31,-2.1
