,DATE,BEIJING,TIANJIN,SHANGHAI,QINGDAO,SHENYANG,DALIAN,CHINA
494,2015-05-08,43,32,24,69,39,42,41.5
495,2015-05-09,45,49,48,59,52,39,48.66666667
496,2015-05-10,16,46,44,55,64,34,43.16666667
497,2015-05-11,38,57,59,80,26,38,49.66666667
498,2015-05-12,100,83,89,103,67,65,84.5
499,2015-05-13,69,75,72,180,63,75,89
500,2015-05-14,45,74,57,102,50,51,63.16666667
501,2015-05-15,81,68,50,90,61,61,68.5
502,2015-05-16,117,89,44,68,91,59,78
503,2015-05-17,71,62,54,85,57,60,64.83333333
504,2015-05-18,48,70,70,121,43,57,68.16666667
505,2015-05-19,31,38,57,88,39,38,48.5
506,2015-05-20,64,59,39,82,68,54,61
507,2015-05-21,67,67,42,45,80,65,61
508,2015-05-22,93,86,45,42,70,25,60.16666667
509,2015-05-23,104,83,43,52,69,46,66.16666667
510,2015-05-24,105,82,49,64,75,42,69.5
511,2015-05-25,96,87,45,54,83,66,71.83333333
512,2015-05-26,89,90,49,51,92,52,70.5
513,2015-05-27,96,77,40,53,50,44,60
514,2015-05-28,68,77,38,57,63,33,56
515,2015-05-29,66,69,44,67,28,44,53
516,2015-05-30,72,83,53,69,84,47,68
517,2015-05-31,113,82,59,68,69,44,72.5
518,2015-06-01,47,63,42,64,40,47,50.5
519,2015-06-02,65,59,35,86,53,55,58.83333333
520,2015-06-03,63,74,49,82,72,60,66.66666667
521,2015-06-04,64,70,60,77,45,50,61
522,2015-06-05,42,76,75,100,46,59,66.33333333
523,2015-06-06,26,44,36,67,48,65,47.66666667
524,2015-06-07,29,48,23,47,36,41,37.33333333
525,2015-06-08,74,79,56,51,51,51,60.33333333
526,2015-06-09,59,82,36,38,46,34,49.16666667
527,2015-06-10,18,44,78,67,24,29,43.33333333
528,2015-06-11,21,35,102,111,38,47,59
529,2015-06-12,20,51,88,119,51,57,64.33333333
530,2015-06-13,31,41,60,97,58,57,57.33333333
531,2015-06-14,87,57,63,91,64,41,67.16666667
532,2015-06-15,105,75,35,77,60,53,67.5
533,2015-06-16,47,117,25,81,56,59,64.16666667
534,2015-06-17,29,57,26,73,39,55,46.5
535,2015-06-18,30,52,50,109,40,53,55.66666667
536,2015-06-19,31,46,45,82,43,40,47.83333333
537,2015-06-20,61,70,51,85,63,38,61.33333333
538,2015-06-21,78,102,28,55,55,33,58.5
539,2015-06-22,100,120,56,46,47,34,67.16666667
540,2015-06-23,85,91,57,51,48,34,61
541,2015-06-24,94,89,65,46,66,28,64.66666667
542,2015-06-25,105,71,42,72,68,43,66.83333333
543,2015-06-26,74,61,17,56,69,38,52.5
544,2015-06-27,115,75,12,51,57,39,58.16666667
545,2015-06-28,126,68,42,51,43,25,59.16666667
546,2015-06-29,25,25,64,65,42,38,43.16666667
547,2015-06-30,37,55,37,105,24,36,49
548,2015-07-01,16,26,55,111,29,38,45.83333333
549,2015-07-02,55,48,65,92,36,40,56
550,2015-07-03,47,41,56,62,60,99,60.83333333
551,2015-07-04,61,50,30,64,41,87,55.5
552,2015-07-05,60,62,21,78,57,87,60.83333333
553,2015-07-06,65,57,21,65,60,40,51.33333333
554,2015-07-07,82,63,30,73,62,53,60.5
555,2015-07-08,63,61,32,73,71,39,56.5
556,2015-07-09,59,60,29,53,42,22,44.16666667
557,2015-07-10,82,111,8,56,52,33,57
558,2015-07-11,108,104,23,39,71,51,66
559,2015-07-12,59,97,70,113,41,47,71.16666667
560,2015-07-13,48,95,76,111,65,55,75
561,2015-07-14,49,109,40,87,31,75,65.16666667
562,2015-07-15,38,74,35,71,49,57,54
563,2015-07-16,35,53,44,53,50,39,45.66666667
564,2015-07-17,42,62,43,48,82,23,50
565,2015-07-18,52,75,30,48,51,34,48.33333333
566,2015-07-19,67,59,35,38,55,46,50
567,2015-07-20,75,80,50,44,59,38,57.66666667
568,2015-07-21,49,56,46,35,78,32,49.33333333
569,2015-07-22,48,69,40,40,103,23,53.83333333
570,2015-07-23,62,72,51,47,101,36,61.5
571,2015-07-24,77,64,58,73,58,31,60.16666667
572,2015-07-25,90,88,71,86,42,71,74.66666667
573,2015-07-26,71,101,62,70,122,67,82.16666667
574,2015-07-27,53,82,61,70,61,53,63.33333333
575,2015-07-28,78,146,64,72,236,70,111
576,2015-07-29,42,52,54,75,55,36,52.33333333
577,2015-07-30,25,50,61,66,59,40,50.16666667
578,2015-07-31,62,61,65,67,48,35,56.33333333
579,2015-08-01,70,77,63,83,43,47,63.83333333
580,2015-08-02,40,60,57,83,56,26,53.66666667
581,2015-08-03,34,48,58,83,35,33,48.5
582,2015-08-04,77,74,53,92,51,41,64.66666667
583,2015-08-05,59,79,33,66,35,29,50.16666667
584,2015-08-06,75,72,25,62,37,35,51
585,2015-08-07,48,71,21,50,43,41,45.66666667
586,2015-08-08,61,106,21,48,59,46,56.83333333
587,2015-08-09,52,125,23,45,41,53,56.5
588,2015-08-10,87,104,27,56,49,51,62.33333333
589,2015-08-11,88,93,39,73,47,46,64.33333333
590,2015-08-12,105,86,56,97,61,61,77.66666667
591,2015-08-13,62,71,46,85,72,102,73
592,2015-08-14,42,82,39,76,73,76,64.66666667
593,2015-08-15,70,92,40,77,75,81,72.5
594,2015-08-16,85,91,50,93,74,101,82.33333333
595,2015-08-17,60,87,52,74,77,81,71.83333333
596,2015-08-18,53,75,35,62,67,71,60.5
597,2015-08-19,43,88,47,57,47,75,59.5
598,2015-08-20,26,61,30,104,44,58,53.83333333
599,2015-08-21,24,78,23,86,44,28,47.16666667
600,2015-08-22,25,67,17,74,49,51,47.16666667
601,2015-08-23,18,55,27,76,49,58,47.16666667
602,2015-08-24,24,46,44,67,46,35,43.66666667
603,2015-08-25,20,49,54,57,39,35,42.33333333
604,2015-08-26,20,45,87,68,45,38,50.5
605,2015-08-27,28,51,81,65,35,52,52
606,2015-08-28,41,48,72,73,31,43,51.33333333
607,2015-08-29,33,46,61,71,59,40,51.66666667
608,2015-08-30,30,41,49,53,64,41,46.33333333
609,2015-08-31,9,23,56,48,60,35,38.5
610,2015-09-01,11,33,68,57,60,20,41.5
611,2015-09-02,24,52,70,67,50,35,49.66666667
612,2015-09-03,57,51,69,75,39,34,54.16666667
613,2015-09-04,16,22,48,48,34,41,34.83333333
614,2015-09-05,23,35,42,69,49,57,45.83333333
615,2015-09-06,38,57,24,68,71,55,52.16666667
616,2015-09-07,63,66,24,46,71,43,52.16666667
617,2015-09-08,46,74,23,56,61,27,47.83333333
618,2015-09-09,9,39,27,82,32,36,37.5
619,2015-09-10,13,23,37,57,58,37,37.5
620,2015-09-11,14,24,49,71,43,23,37.33333333
621,2015-09-12,42,60,43,58,52,35,48.33333333
622,2015-09-13,78,75,33,64,62,53,60.83333333
623,2015-09-14,84,95,32,52,72,60,65.83333333
624,2015-09-15,92,88,29,66,75,46,66
625,2015-09-16,105,76,39,75,71,46,68.66666667
626,2015-09-17,69,91,44,89,84,55,72
627,2015-09-18,33,76,32,123,42,56,60.33333333
628,2015-09-19,82,57,47,101,69,37,65.5
629,2015-09-20,77,64,45,69,62,32,58.16666667
630,2015-09-21,102,95,41,47,49,24,59.66666667
631,2015-09-22,39,86,40,58,53,32,51.33333333
632,2015-09-23,90,112,29,66,46,70,68.83333333
633,2015-09-24,21,47,40,98,74,44,54
634,2015-09-25,49,70,45,75,83,38,60
635,2015-09-26,61,82,44,64,59,38,58
636,2015-09-27,53,50,42,61,49,43,49.66666667
637,2015-09-28,54,47,21,58,82,33,49.16666667
638,2015-09-29,34,50,26,47,101,39,49.5
639,2015-09-30,20,39,43,75,40,25,40.33333333
640,2015-10-01,49,70,69,83,55,51,62.83333333
641,2015-10-02,46,64,61,142,46,31,65
642,2015-10-03,92,81,39,80,83,33,68
643,2015-10-04,141,170,30,65,89,73,94.66666667
644,2015-10-05,195,100,26,57,101,66,90.83333333
645,2015-10-06,198,91,30,42,76,42,79.83333333
646,2015-10-07,22,48,28,83,37,30,41.33333333
647,2015-10-08,43,62,67,77,60,37,57.66666667
648,2015-10-09,22,34,71,86,48,20,46.83333333
649,2015-10-10,29,44,62,73,38,20,44.33333333
650,2015-10-11,28,57,84,84,64,28,57.5
651,2015-10-12,54,76,86,83,64,40,67.16666667
652,2015-10-13,98,115,110,118,109,83,105.5
653,2015-10-14,92,93,39,121,94,97,89.33333333
654,2015-10-15,162,111,46,78,107,94,99.66666667
655,2015-10-16,250,141,39,76,93,75,112.3333333
656,2015-10-17,49,100,46,81,43,56,62.5
657,2015-10-18,67,61,46,103,101,87,77.5
658,2015-10-19,82,77,49,89,82,76,75.83333333
659,2015-10-20,57,60,52,80,94,73,69.33333333
660,2015-10-21,43,36,74,101,115,56,70.83333333
661,2015-10-22,53,50,57,91,98,68,69.5
662,2015-10-23,60,66,57,117,64,42,67.66666667
663,2015-10-24,45,60,54,83,213,77,88.66666667
664,2015-10-25,55,51,59,93,156,68,80.33333333
665,2015-10-26,33,67,69,95,53,55,62
666,2015-10-27,15,51,83,97,50,38,55.66666667
667,2015-10-28,15,44,48,75,56,36,45.66666667
668,2015-10-29,32,50,40,69,55,35,46.83333333
669,2015-10-30,48,95,31,67,81,39,60.16666667
670,2015-10-31,70,139,35,102,100,47,82.16666667
671,2015-11-01,74,124,88,103,150,91,105
672,2015-11-02,127,102,76,111,138,77,105.1666667
673,2015-11-03,136,111,46,62,91,49,82.5
674,2015-11-04,NA,113,47,61,77,64,72.4
675,2015-11-05,15,29,37,47,143,124,65.83333333
676,2015-11-06,16,24,46,80,296,149,101.8333333
677,2015-11-07,66,64,71,106,817,355,246.5
678,2015-11-08,101,82,68,96,280,122,124.8333333
679,2015-11-09,101,91,54,98,140,96,96.66666667
680,2015-11-10,82,94,49,116,107,86,89
681,2015-11-11,120,116,57,115,146,81,105.8333333
682,2015-11-12,141,109,52,73,128,73,96
683,2015-11-13,109,120,95,85,101,51,93.5
684,2015-11-14,154,113,91,96,102,112,111.3333333
685,2015-11-15,56,53,71,88,92,87,74.5
686,2015-11-16,57,78,39,81,99,62,69.33333333
687,2015-11-17,53,51,39,74,102,86,67.5
688,2015-11-18,NA,62,41,82,87,85,71.4
689,2015-11-19,NA,38,49,91,67,76,64.2
690,2015-11-20,NA,39,33,75,82,95,64.8
691,2015-11-21,NA,38,41,48,90,74,58.2
692,2015-11-22,NA,30,37,54,63,46,46
693,2015-11-23,31,49,29,54,58,43,44
694,2015-11-24,19,64,33,67,71,41,49.16666667
695,2015-11-25,36,49,54,70,56,31,49.33333333
696,2015-11-26,149,94,44,71,95,47,83.33333333
697,2015-11-27,251,129,69,117,135,94,132.5
698,2015-11-28,184,211,71,148,137,98,141.5
699,2015-11-29,472,335,97,172,99,73,208
700,2015-11-30,250,204,63,105,81,58,126.8333333
701,2015-12-01,5,153,70,125,49,57,76.5
702,2015-12-02,12,32,88,70,48,32,47
703,2015-12-03,35,55,61,81,74,38,57.33333333
704,2015-12-04,50,76,76,120,52,41,69.16666667
705,2015-12-05,109,71,73,77,111,50,81.83333333
706,2015-12-06,120,85,64,101,154,88,102
707,2015-12-07,170,155,37,101,151,90,117.3333333
708,2015-12-08,NA,239,47,55,86,58,97
709,2015-12-09,NA,208,40,98,77,60,96.6
710,2015-12-10,57,55,63,66,80,46,61.16666667
711,2015-12-11,129,81,53,85,154,112,102.3333333
712,2015-12-12,152,96,65,105,165,157,123.3333333
713,2015-12-13,NA,143,107,97,188,113,129.6
714,2015-12-14,7,60,136,153,71,44,78.5
715,2015-12-15,10,30,63,69,49,30,41.83333333
716,2015-12-16,46,52,45,68,63,40,52.33333333
717,2015-12-17,59,96,50,101,80,69,75.83333333
718,2015-12-18,98,65,37,143,120,77,90
719,2015-12-19,156,117,41,126,67,79,97.66666667
720,2015-12-20,198,370,95,281,149,217,218.3333333
721,2015-12-21,317,327,73,179,221,156,212.1666667
722,2015-12-22,205,267,124,172,138,183,181.5
723,2015-12-23,104,214,51,390,57,65,146.8333333
724,2015-12-24,415,180,112,213,108,106,189
725,2015-12-25,283,152,87,210,65,85,147
726,2015-12-26,79,49,64,56,103,36,64.5
727,2015-12-27,86,102,38,87,121,80,85.66666667
728,2015-12-28,236,166,60,136,132,123,142.1666667
729,2015-12-29,160,135,73,186,150,111,135.8333333
730,2015-12-30,68,110,100,152,209,76,119.1666667
731,2015-12-31,NA,NA,NA,NA,NA,NA,133.5833333
732,2016-01-01,NA,NA,NA,NA,NA,NA,133.5833333
733,2016-01-02,NA,NA,NA,NA,NA,148,148
734,2016-01-03,10,83,94,96,61,44,64.66666667
735,2016-01-04,51,53,30,75,68,49,54.33333333
736,2016-01-05,28,63,48,102,67,51,59.83333333
737,2016-01-06,14,51,64,87,75,41,55.33333333
738,2016-01-07,29,47,60,85,70,49,56.66666667
739,2016-01-08,67,173,85,135,114,84,109.6666667
740,2016-01-09,49,171,61,236,61,71,108.1666667
741,2016-01-10,15,41,47,75,70,49,49.5
742,2016-01-11,17,48,41,64,83,52,50.83333333
743,2016-01-12,31,90,81,96,77,59,72.33333333
744,2016-01-13,63,116,108,149,110,49,99.16666667
745,2016-01-14,90,169,106,322,138,107,155.3333333
746,2016-01-15,86,94,94,162,121,102,109.8333333
747,2016-01-16,31,58,66,152,78,83,78
748,2016-01-17,39,76,97,79,53,45,64.83333333
749,2016-01-18,58,63,68,68,60,34,58.5
750,2016-01-19,101,77,32,60,83,55,68
751,2016-01-20,91,78,20,78,128,62,76.16666667
752,2016-01-21,21,74,39,85,82,58,59.83333333
753,2016-01-22,35,70,44,69,57,30,50.83333333
754,2016-01-23,42,62,58,90,83,46,63.5
755,2016-01-24,29,73,55,82,136,69,74
756,2016-01-25,43,72,62,109,109,70,77.5
757,2016-01-26,79,102,44,123,99,67,85.66666667
758,2016-01-27,107,102,26,121,137,87,96.66666667
759,2016-01-28,58,56,30,92,73,67,62.66666667
760,2016-01-29,45,54,51,58,63,41,52
761,2016-01-30,16,45,60,66,69,47,50.5
762,2016-01-31,15,57,49,91,116,49,62.83333333
763,2016-02-01,34,37,72,92,105,67,67.83333333
764,2016-02-02,33,104,57,132,131,67,87.33333333
765,2016-02-03,15,36,37,174,68,52,63.66666667
766,2016-02-04,27,50,100,88,70,48,63.83333333
767,2016-02-05,32,45,66,70,78,38,54.83333333
768,2016-02-06,50,118,68,61,98,59,75.66666667
769,2016-02-07,176,216,101,NA,101,106,140
770,2016-02-08,38,70,87,88,71,54,68
771,2016-02-09,80,85,52,56,67,52,65.33333333
772,2016-02-10,114,84,29,66,75,44,68.66666667
773,2016-02-11,99,122,28,72,86,51,76.33333333
774,2016-02-12,13,25,53,28,60,42,36.83333333
775,2016-02-13,13,27,42,34,61,41,36.33333333
776,2016-02-14,36,50,40,45,63,44,46.33333333
777,2016-02-15,32,70,48,56,60,38,50.66666667
778,2016-02-16,40,49,60,61,67,43,53.33333333
779,2016-02-17,26,60,67,73,69,71,61
780,2016-02-18,24,61,64,54,55,51,51.5
781,2016-02-19,14,34,85,64,54,39,48.33333333
782,2016-02-20,71,78,86,49,56,50,65
783,2016-02-21,60,127,59,89,78,95,84.66666667
784,2016-02-22,15,35,52,103,64,44,52.16666667
785,2016-02-23,36,55,53,58,82,55,56.5
786,2016-02-24,32,60,52,94,56,56,58.33333333
787,2016-02-25,42,56,79,110,90,48,70.83333333
788,2016-02-26,26,78,80,101,77,62,70.66666667
789,2016-02-27,40,66,84,93,87,68,73
790,2016-02-28,33,40,62,55,54,43,47.83333333
791,2016-02-29,86,100,48,60,89,56,73.16666667
792,2016-03-01,116,153,75,96,111,125,112.6666667
793,2016-03-02,151,184,88,183,158,101,144.1666667
794,2016-03-03,202,150,60,67,115,42,106
795,2016-03-04,177,309,84,92,270,93,170.8333333
796,2016-03-05,113,304,82,157,352,145,192.1666667
797,2016-03-06,61,128,75,119,96,96,95.83333333
798,2016-03-07,19,55,20,86,67,40,47.83333333
799,2016-03-08,15,44,31,56,53,33,38.66666667
800,2016-03-09,35,62,29,63,45,41,45.83333333
801,2016-03-10,42,71,51,76,58,51,58.16666667
802,2016-03-11,84,105,71,115,78,85,89.66666667
803,2016-03-12,35,96,54,68,68,78,66.5
804,2016-03-13,80,107,61,101,91,57,82.83333333
805,2016-03-14,108,126,47,79,134,68,93.66666667
806,2016-03-15,150,140,52,55,142,61,100
807,2016-03-16,150,115,47,56,73,64,84.16666667
808,2016-03-17,36,154,78,58,90,65,80.16666667
809,2016-03-18,75,88,38,120,77,69,77.83333333
810,2016-03-19,69,72,59,82,112,68,77
811,2016-03-20,110,89,58,65,138,73,88.83333333
812,2016-03-21,129,137,46,66,91,73,90.33333333
813,2016-03-22,34,63,46,67,69,50,54.83333333
814,2016-03-23,24,55,40,NA,67,51,47.4
815,2016-03-24,36,71,49,NA,80,45,56.2
816,2016-03-25,27,58,58,57,96,59,59.16666667
817,2016-03-26,31,70,95,63,104,75,73
818,2016-03-27,131,100,90,89,149,83,107
819,2016-03-28,52,95,75,86,76,57,73.5
820,2016-03-29,48,119,93,81,71,56,78
821,2016-03-30,135,173,54,86,268,69,130.8333333
822,2016-03-31,82,141,74,90,111,108,101
823,2016-04-01,21,57,58,66,75,62,56.5
824,2016-04-02,34,81,54,59,67,48,57.16666667
825,2016-04-03,75,100,41,68,70,68,70.33333333
826,2016-04-04,91,128,43,61,68,98,81.5
827,2016-04-05,83,120,37,26,78,74,69.66666667
828,2016-04-06,83,121,59,61,71,70,77.5
829,2016-04-07,50,84,48,90,167,78,86.16666667
830,2016-04-08,164,255,52,102,123,95,131.8333333
831,2016-04-09,117,131,66,91,65,85,92.5
832,2016-04-10,70,82,49,42,70,63,62.66666667
833,2016-04-11,65,110,58,42,81,76,72
834,2016-04-12,87,212,80,53,92,111,105.8333333
835,2016-04-13,68,85,101,62,93,76,80.83333333
836,2016-04-14,72,102,80,54,72,59,73.16666667
837,2016-04-15,57,73,49,35,77,61,58.66666667
838,2016-04-16,24,45,60,48,65,43,47.5
839,2016-04-17,26,45,43,56,76,48,49
840,2016-04-18,65,78,50,36,62,46,56.16666667
841,2016-04-19,60,93,42,30,58,50,55.5
842,2016-04-20,96,100,57,78,77,54,77
843,2016-04-21,70,112,94,108,90,124,99.66666667
844,2016-04-22,38,73,40,183,77,134,90.83333333
845,2016-04-23,89,98,57,139,84,113,96.66666667
846,2016-04-24,81,81,72,96,94,133,92.83333333
847,2016-04-25,80,87,51,66,71,122,79.5
848,2016-04-26,72,80,49,71,61,78,68.5
849,2016-04-27,69,84,81,64,58,61,69.5
850,2016-04-28,64,93,102,60,73,50,73.66666667
851,2016-04-29,100,83,77,69,80,96,84.16666667
852,2016-04-30,57,96,65,73,84,115,81.66666667
853,2016-05-01,62,78,45,33,68,67,58.83333333
854,2016-05-02,50,58,55,31,33,19,41
855,2016-05-03,44,66,87,50,46,41,55.66666667
856,2016-05-04,55,72,61,45,66,62,60.16666667
857,2016-05-05,199,236,64,123,100,82,134
858,2016-05-06,30,193,164,74,68,44,95.5
859,2016-05-07,64,75,61,44,63,45,58.66666667
860,2016-05-08,41,72,48,32,78,53,54
861,2016-05-09,53,74,30,46,87,70,60
862,2016-05-10,73,101,79,88,82,73,82.66666667
863,2016-05-11,29,55,69,63,67,70,58.83333333
864,2016-05-12,57,65,72,36,60,37,54.5
865,2016-05-13,38,63,48,31,55,48,47.16666667
866,2016-05-14,23,47,37,30,49,33,36.5
867,2016-05-15,46,64,52,38,78,46,54
868,2016-05-16,78,84,45,65,65,60,66.16666667
869,2016-05-17,70,82,60,42,77,55,64.33333333
870,2016-05-18,76,83,66,43,66,38,62
871,2016-05-19,78,78,41,38,56,36,54.5
872,2016-05-20,65,77,20,50,70,40,53.66666667
873,2016-05-21,67,78,53,52,54,65,61.5
874,2016-05-22,76,84,69,44,75,63,68.5
875,2016-05-23,31,56,77,64,57,51,56
876,2016-05-24,24,43,70,80,52,53,53.66666667
877,2016-05-25,48,70,79,43,57,65,60.33333333
878,2016-05-26,79,98,38,60,72,100,74.5
879,2016-05-27,57,71,30,43,77,101,63.16666667
880,2016-05-28,51,87,46,31,65,73,58.83333333
881,2016-05-29,93,101,60,58,79,75,77.66666667
882,2016-05-30,86,94,66,54,51,56,67.83333333
883,2016-05-31,54,49,34,37,70,48,48.66666667
884,2016-06-01,63,48,48,38,67,42,51
885,2016-06-02,83,64,26,23,67,45,51.33333333
886,2016-06-03,78,77,41,14,70,29,51.5
887,2016-06-04,73,58,33,16,57,27,44
888,2016-06-05,77,46,45,23,54,31,46
889,2016-06-06,61,74,48,22,44,45,49
890,2016-06-07,NA,80,41,28,62,60,54.2
891,2016-06-08,76,96,34,22,73,66,61.16666667
892,2016-06-09,31,94,41,17,57,41,46.83333333
893,2016-06-10,15,27,61,29,41,44,36.16666667
894,2016-06-11,62,54,30,26,44,47,43.83333333
895,2016-06-12,61,54,39,21,51,40,44.33333333
896,2016-06-13,32,57,49,21,60,36,42.5
897,2016-06-14,32,30,65,31,38,34,38.33333333
898,2016-06-15,33,64,83,44,59,52,55.83333333
899,2016-06-16,47,87,62,61,68,58,63.83333333
900,2016-06-17,60,37,36,32,58,64,47.83333333
901,2016-06-18,61,74,38,25,43,53,49
