,DATE,BEIJING,TIANJIN,SHANGHAI,QINGDAO,SHENYANG,DALIAN,CHINA
367,2015-01-01,59,81,73,NA,65,38,63.2
368,2015-01-02,140,172,89,117,80,52,108.3333333
369,2015-01-03,156,312,100,171,122,132,165.5
370,2015-01-04,106,151,74,159,101,121,118.6666667
371,2015-01-05,43,67,78,61,61,46,59.33333333
372,2015-01-06,73,105,44,83,70,46,70.16666667
373,2015-01-07,136,166,64,82,170,53,111.8333333
374,2015-01-08,83,141,116,199,226,83,141.3333333
375,2015-01-09,137,189,130,152,160,85,142.1666667
376,2015-01-10,40,84,136,150,90,56,92.66666667
377,2015-01-11,85,60,29,66,181,52,78.83333333
378,2015-01-12,133,125,24,58,136,49,87.5
379,2015-01-13,184,207,19,68,159,54,115.1666667
380,2015-01-14,307,170,58,129,142,93,149.8333333
381,2015-01-15,94,85,84,180,74,69,97.66666667
382,2015-01-16,68,49,66,84,68,38,62.16666667
383,2015-01-17,100,114,71,111,108,92,99.33333333
384,2015-01-18,63,69,105,97,77,39,75
385,2015-01-19,81,118,62,59,167,48,89.16666667
386,2015-01-20,22,84,90,80,117,64,76.16666667
387,2015-01-21,91,86,90,67,370,46,125
388,2015-01-22,153,132,82,97,209,71,124
389,2015-01-23,84,127,87,105,97,80,96.66666667
390,2015-01-24,NA,81,97,80,165,67,98
391,2015-01-25,32,140,86,106,81,65,85
392,2015-01-26,30,28,51,54,51,28,40.33333333
393,2015-01-27,47,79,28,53,139,49,65.83333333
394,2015-01-28,55,67,15,69,120,61,64.5
395,2015-01-29,23,32,58,90,46,30,46.5
396,2015-01-30,36,46,40,74,132,44,62
397,2015-01-31,75,118,31,78,190,69,93.5
398,2015-02-01,110,108,30,78,170,134,105
399,2015-02-02,42,136,43,113,148,123,100.8333333
400,2015-02-03,37,44,113,140,87,60,80.16666667
401,2015-02-04,32,52,78,73,90,28,58.83333333
402,2015-02-05,70,110,66,83,112,59,83.33333333
403,2015-02-06,32,86,82,128,96,71,82.5
404,2015-02-07,31,39,53,62,67,55,51.16666667
405,2015-02-08,96,95,35,80,106,67,79.83333333
406,2015-02-09,107,122,53,104,123,128,106.1666667
407,2015-02-10,51,107,66,138,89,68,86.5
408,2015-02-11,35,60,123,94,64,38,69
409,2015-02-12,75,96,47,92,95,32,72.83333333
410,2015-02-13,NA,177,58,91,139,104,113.8
411,2015-02-14,193,136,58,77,258,82,134
412,2015-02-15,51,112,83,118,201,95,110
413,2015-02-16,32,67,105,138,54,48,74
414,2015-02-17,57,90,79,73,76,31,67.66666667
415,2015-02-18,148,132,30,86,449,65,151.6666667
416,2015-02-19,NA,73,20,49,84,46,54.4
417,2015-02-20,262,169,48,55,70,49,108.8333333
418,2015-02-21,204,267,90,153,707,415,306
419,2015-02-22,72,102,92,119,71,103,93.16666667
420,2015-02-23,128,149,77,106,111,67,106.3333333
421,2015-02-24,56,110,31,119,100,75,81.83333333
422,2015-02-25,22,61,52,86,42,26,48.16666667
423,2015-02-26,32,50,32,58,67,34,45.5
424,2015-02-27,103,68,16,62,101,37,64.5
425,2015-02-28,61,110,60,212,72,93,101.3333333
426,2015-03-01,68,110,82,119,110,95,97.33333333
427,2015-03-02,37,79,70,101,44,55,64.33333333
428,2015-03-03,29,54,44,61,57,35,46.66666667
429,2015-03-04,82,82,33,55,93,44,64.83333333
430,2015-03-05,128,122,34,65,86,47,80.33333333
431,2015-03-06,148,120,34,78,119,82,96.83333333
432,2015-03-07,31,133,29,52,81,75,66.83333333
433,2015-03-08,20,56,40,83,52,37,48
434,2015-03-09,37,67,37,81,55,51,54.66666667
435,2015-03-10,48,80,52,94,66,46,64.33333333
436,2015-03-11,69,96,70,107,61,50,75.5
437,2015-03-12,58,85,88,120,75,61,81.16666667
438,2015-03-13,78,94,84,67,103,63,81.5
439,2015-03-14,117,147,51,72,100,88,95.83333333
440,2015-03-15,184,157,31,73,119,96,110
441,2015-03-16,200,124,38,59,66,77,94
442,2015-03-17,58,85,51,98,91,55,73
443,2015-03-18,121,176,65,94,108,114,113
444,2015-03-19,119,174,59,160,125,219,142.6666667
445,2015-03-20,75,112,81,180,106,145,116.5
446,2015-03-21,73,141,86,192,150,127,128.1666667
447,2015-03-22,60,81,73,79,71,57,70.16666667
448,2015-03-23,80,103,37,55,159,49,80.5
449,2015-03-24,96,95,36,68,144,62,83.5
450,2015-03-25,95,81,40,54,123,90,80.5
451,2015-03-26,107,78,30,45,181,74,85.83333333
452,2015-03-27,223,373,68,97,145,75,163.5
453,2015-03-28,196,327,75,258,189,88,188.8333333
454,2015-03-29,190,174,43,71,125,54,109.5
455,2015-03-30,96,88,65,66,95,65,79.16666667
456,2015-03-31,55,65,59,75,75,59,64.66666667
457,2015-04-01,19,57,57,57,83,29,50.33333333
458,2015-04-02,27,63,61,71,70,50,57
459,2015-04-03,49,90,58,68,63,57,64.16666667
460,2015-04-04,69,82,55,100,77,58,73.5
461,2015-04-05,25,42,24,106,58,41,49.33333333
462,2015-04-06,29,62,35,61,63,36,47.66666667
463,2015-04-07,75,83,35,64,87,48,65.33333333
464,2015-04-08,103,91,39,50,92,55,71.66666667
465,2015-04-09,115,117,50,68,91,68,84.83333333
466,2015-04-10,86,137,52,73,115,60,87.16666667
467,2015-04-11,20,68,62,66,68,53,56.16666667
468,2015-04-12,22,65,58,66,79,54,57.33333333
469,2015-04-13,59,95,60,100,97,85,82.66666667
470,2015-04-14,195,156,84,121,112,85,125.5
471,2015-04-15,108,154,92,138,97,47,106
472,2015-04-16,112,97,93,114,113,73,100.3333333
473,2015-04-17,156,132,77,70,151,61,107.8333333
474,2015-04-18,78,84,105,66,86,78,82.83333333
475,2015-04-19,79,92,56,94,112,62,82.5
476,2015-04-20,85,92,63,122,111,101,95.66666667
477,2015-04-21,72,71,84,103,87,45,77
478,2015-04-22,81,92,76,113,96,80,89.66666667
479,2015-04-23,106,100,77,127,80,70,93.33333333
480,2015-04-24,105,116,97,114,124,109,110.8333333
481,2015-04-25,113,85,65,154,135,86,106.3333333
482,2015-04-26,92,90,68,80,96,64,81.66666667
483,2015-04-27,52,70,77,64,63,50,62.66666667
484,2015-04-28,87,74,48,67,72,49,66.16666667
485,2015-04-29,86,128,69,74,72,57,81
486,2015-04-30,92,89,46,30,72,42,61.83333333
487,2015-05-01,48,53,59,35,73,24,48.66666667
488,2015-05-02,73,76,58,98,52,46,67.16666667
489,2015-05-03,48,54,79,116,47,49,65.5
490,2015-05-04,67,87,55,100,175,77,93.5
491,2015-05-05,52,127,71,103,136,98,97.83333333
492,2015-05-06,83,82,55,97,112,70,83.16666667
493,2015-05-07,70,91,58,81,58,56,69
