"","date","data"
"1",10 2014,73.7096774193548
"2",11 2014,86.8333333333333
"3",12 2014,78.1935483870968
"4",8 2014,67.8666666666667
"5",9 2014,69.6333333333333
"6",10 2015,82.6451612903226
"7",11 2015,74.6
"8",12 2015,93.3548387096774
"9",1 2015,94.0322580645161
"10",2 2015,105.071428571429
"11",3 2015,103.161290322581
"12",4 2015,80.0666666666667
"13",5 2015,85.3870967741936
"14",6 2015,77.3666666666667
"15",7 2015,70.8709677419355
"16",8 2015,80.8709677419355
"17",9 2015,64.1
"18",10 2016,76.258064516129
"19",11 2016,96.8666666666667
"20",12 2016,99.3225806451613
"21",1 2016,90.5483870967742
"22",2 2016,85.3103448275862
"23",3 2016,108.451612903226
"24",4 2016,101.4
"25",5 2016,97.8387096774194
"26",6 2016,98.2333333333333
"27",7 2016,79.0967741935484
"28",8 2016,83.1612903225806
"29",9 2016,87.5666666666667
"30",10 2017,61.5806451612903
"31",11 2017,78.8666666666667
"32",12 2017,93.1935483870968
"33",1 2017,102.096774193548
"34",2 2017,98.5357142857143
"35",3 2017,124.903225806452
"36",4 2017,92.2666666666667
"37",5 2017,88.2258064516129
"38",6 2017,83.2
"39",7 2017,63.6612903225806
"40",8 2017,54.4704301075269
"41",9 2017,71.5972222222222
"42",10 2018,62.4838709677419
"43",11 2018,102.966666666667
"44",12 2018,87.5967741935484
"45",1 2018,94.4193548387097
"46",2 2018,96.7857142857143
"47",3 2018,103.612903225806
"48",4 2018,92.3
"49",5 2018,87.258064516129
"50",6 2018,93.5
"51",7 2018,63.0645161290323
"52",8 2018,56.8387096774194
"53",9 2018,44.1
"54",10 2019,58.6774193548387
"55",11 2019,74.1333333333333
"56",12 2019,98.258064516129
"57",1 2019,109.41935483871
"58",2 2019,113.464285714286
"59",3 2019,120.354838709677
"60",4 2019,80.3333333333333
"61",5 2019,101.516129032258
"62",6 2019,71.4333333333333
"63",7 2019,65.1935483870968
"64",8 2019,56.9032258064516
"65",9 2019,45.1
"66",1 2020,93.6451612903226
"67",2 2020,92.0344827586207
"68",3 2020,86.0967741935484
"69",4 2020,73.8666666666667
"70",5 2020,60.1
