"","date","data"
"1",10 2014,38.3870967741936
"2",11 2014,47.7666666666667
"3",12 2014,44.3225806451613
"4",1 2014,54.1290322580645
"5",2 2014,52.2142857142857
"6",3 2014,58.0645161290323
"7",4 2014,56.9
"8",5 2014,59.8387096774194
"9",6 2014,41.7666666666667
"10",7 2014,41
"11",8 2014,31.6774193548387
"12",9 2014,32.5333333333333
"13",10 2015,46.8064516129032
"14",11 2015,35.4333333333333
"15",12 2015,49.8387096774194
"16",1 2015,51.3870967741936
"17",2 2015,83
"18",3 2015,64.3548387096774
"19",4 2015,46.3
"20",5 2015,47.8387096774194
"21",6 2015,37.1666666666667
"22",7 2015,32.0322580645161
"23",8 2015,35.3548387096774
"24",9 2015,30.4333333333333
"25",10 2016,40.4516129032258
"26",11 2016,54.7666666666667
"27",12 2016,50.5806451612903
"28",1 2016,49.7096774193548
"29",2 2016,48.5862068965517
"30",3 2016,65
"31",4 2016,67.9666666666667
"32",5 2016,57.4838709677419
"33",6 2016,47.9333333333333
"34",7 2016,36.5161290322581
"35",8 2016,39.6774193548387
"36",9 2016,42.0666666666667
"37",10 2017,33.4838709677419
"38",11 2017,44.9666666666667
"39",12 2017,51.7741935483871
"40",1 2017,52.1290322580645
"41",2 2017,50.3214285714286
"42",3 2017,60.8709677419355
"43",4 2017,59.5
"44",5 2017,59.0322580645161
"45",6 2017,44.9666666666667
"46",7 2017,27.7258064516129
"47",8 2017,24.7459677419355
"48",9 2017,48.3791666666667
"49",10 2018,31.5806451612903
"50",11 2018,52.3666666666667
"51",12 2018,44.8387096774194
"52",1 2018,52.2258064516129
"53",2 2018,55.3214285714286
"54",3 2018,52.8064516129032
"55",4 2018,52.7
"56",5 2018,45.0322580645161
"57",6 2018,40.5
"58",7 2018,27.8387096774194
"59",8 2018,24.4838709677419
"60",9 2018,22.5333333333333
"61",10 2019,33
"62",11 2019,37.2666666666667
"63",12 2019,43.7741935483871
"64",1 2019,61.4838709677419
"65",2 2019,57.8214285714286
"66",3 2019,60.7741935483871
"67",4 2019,44.6666666666667
"68",5 2019,54.1290322580645
"69",6 2019,30.1333333333333
"70",7 2019,26.0967741935484
"71",8 2019,24.1290322580645
"72",9 2019,22.0666666666667
"73",1 2020,44.4193548387097
"74",2 2020,41.9655172413793
"75",3 2020,47.5806451612903
"76",4 2020,45.6666666666667
"77",5 2020,35.55
