,DATE,SEOUL,DAEJEON,BUSAN,KOREA
367,2015-01-01,32,NA,NA,32
368,2015-01-02,43,NA,47,45
369,2015-01-03,48,40,60,49.33333333
370,2015-01-04,71,51,97,73
371,2015-01-05,40,78,50,56
372,2015-01-06,39,48,37,41.33333333
373,2015-01-07,47,43,64,51.33333333
374,2015-01-08,53,48,67,56
375,2015-01-09,44,62,70,58.66666667
376,2015-01-10,50,54,70,58
377,2015-01-11,49,44,67,53.33333333
378,2015-01-12,62,58,68,62.66666667
379,2015-01-13,72,70,69,70.33333333
380,2015-01-14,64,73,57,64.66666667
381,2015-01-15,77,75,86,79.33333333
382,2015-01-16,39,78,54,57
383,2015-01-17,36,44,36,38.66666667
384,2015-01-18,64,36,80,60
385,2015-01-19,52,66,77,65
386,2015-01-20,64,56,79,66.33333333
387,2015-01-21,50,70,55,58.33333333
388,2015-01-22,46,58,62,55.33333333
389,2015-01-23,57,60,76,64.33333333
390,2015-01-24,67,56,74,65.66666667
391,2015-01-25,44,64,67,58.33333333
392,2015-01-26,54,57,65,58.66666667
393,2015-01-27,50,58,46,51.33333333
394,2015-01-28,56,49,42,49
395,2015-01-29,43,59,48,50
396,2015-01-30,46,52,44,47.33333333
397,2015-01-31,34,43,51,42.66666667
398,2015-02-01,48,49,61,52.66666667
399,2015-02-02,64,61,61,62
400,2015-02-03,76,69,68,71
401,2015-02-04,83,77,74,78
402,2015-02-05,58,78,64,66.66666667
403,2015-02-06,53,56,63,57.33333333
404,2015-02-07,87,52,61,66.66666667
405,2015-02-08,41,62,42,48.33333333
406,2015-02-09,82,40,72,64.66666667
407,2015-02-10,79,72,79,76.66666667
408,2015-02-11,42,74,69,61.66666667
409,2015-02-12,36,56,44,45.33333333
410,2015-02-13,58,46,60,54.66666667
411,2015-02-14,76,67,91,78
412,2015-02-15,46,81,65,64
413,2015-02-16,62,25,68,51.66666667
414,2015-02-17,63,68,62,64.33333333
415,2015-02-18,64,63,56,61
416,2015-02-19,57,57,42,52
417,2015-02-20,29,55,46,43.33333333
418,2015-02-21,202,29,65,98.66666667
419,2015-02-22,554,77,142,257.6666667
420,2015-02-23,91,289,108,162.6666667
421,2015-02-24,70,82,93,81.66666667
422,2015-02-25,39,66,80,61.66666667
423,2015-02-26,34,54,46,44.66666667
424,2015-02-27,50,39,59,49.33333333
425,2015-02-28,80,56,39,58.33333333
426,2015-03-01,80,69,79,76
427,2015-03-02,55,78,56,63
428,2015-03-03,45,59,51,51.66666667
429,2015-03-04,49,55,57,53.66666667
430,2015-03-05,52,53,55,53.33333333
431,2015-03-06,55,57,55,55.66666667
432,2015-03-07,70,61,53,61.33333333
433,2015-03-08,64,63,56,61
434,2015-03-09,33,67,47,49
435,2015-03-10,43,50,59,50.66666667
436,2015-03-11,37,57,64,52.66666667
437,2015-03-12,50,39,76,55
438,2015-03-13,43,63,63,56.33333333
439,2015-03-14,48,56,59,54.33333333
440,2015-03-15,78,55,82,71.66666667
441,2015-03-16,106,84,92,94
442,2015-03-17,77,107,52,78.66666667
443,2015-03-18,58,53,49,53.33333333
444,2015-03-19,87,39,79,68.33333333
445,2015-03-20,127,78,86,97
446,2015-03-21,115,101,103,106.3333333
447,2015-03-22,58,107,55,73.33333333
448,2015-03-23,49,57,60,55.33333333
449,2015-03-24,48,50,66,54.66666667
450,2015-03-25,51,46,64,53.66666667
451,2015-03-26,59,58,71,62.66666667
452,2015-03-27,52,68,61,60.33333333
453,2015-03-28,64,56,53,57.66666667
454,2015-03-29,115,71,74,86.66666667
455,2015-03-30,98,107,80,95
456,2015-03-31,29,90,54,57.66666667
457,2015-04-01,26,40,53,39.66666667
458,2015-04-02,35,36,54,41.66666667
459,2015-04-03,18,32,38,29.33333333
460,2015-04-04,18,26,35,26.33333333
461,2015-04-05,54,12,45,37
462,2015-04-06,46,49,53,49.33333333
463,2015-04-07,30,37,51,39.33333333
464,2015-04-08,55,56,52,54.33333333
465,2015-04-09,58,64,51,57.66666667
466,2015-04-10,68,63,54,61.66666667
467,2015-04-11,55,52,54,53.66666667
468,2015-04-12,30,24,29,27.66666667
469,2015-04-13,23,25,38,28.66666667
470,2015-04-14,40,48,58,48.66666667
471,2015-04-15,72,70,71,71
472,2015-04-16,68,56,89,71
473,2015-04-17,62,57,67,62
474,2015-04-18,36,37,45,39.33333333
475,2015-04-19,13,22,31,22
476,2015-04-20,45,42,63,50
477,2015-04-21,67,60,74,67
