"","date","data"
"1",2014-01-01,125
"2",2014-01-02,218
"3",2014-01-03,127
"4",2014-01-04,213
"5",2014-01-05,168
"6",2014-01-06,204
"7",2014-01-07,178
"8",2014-01-08,65
"9",2014-01-09,92
"10",2014-01-10,160
"11",2014-01-11,218
"12",2014-01-12,76
"13",2014-01-13,190
"14",2014-01-14,190
"15",2014-01-15,249
"16",2014-01-16,466
"17",2014-01-17,228
"18",2014-01-18,134
"19",2014-01-19,185
"20",2014-01-20,42
"21",2014-01-21,95
"22",2014-01-22,211
"23",2014-01-23,339
"24",2014-01-24,221
"25",2014-01-25,98
"26",2014-01-26,122
"27",2014-01-27,157
"28",2014-01-28,109
"29",2014-01-29,208
"30",2014-01-30,126
"31",2014-01-31,220
"32",2014-02-01,211
"33",2014-02-02,117
"34",2014-02-03,31
"35",2014-02-04,63
"36",2014-02-05,175
"37",2014-02-06,202
"38",2014-02-07,175
"39",2014-02-08,108
"40",2014-02-09,51
"41",2014-02-10,74
"42",2014-02-11,192
"43",2014-02-12,205
"44",2014-02-13,261
"45",2014-02-14,332
"46",2014-02-15,408
"47",2014-02-16,322
"48",2014-02-17,161
"49",2014-02-18,148
"50",2014-02-19,140
"51",2014-02-20,302
"52",2014-02-21,378
"53",2014-02-22,387
"54",2014-02-23,338
"55",2014-02-24,398
"56",2014-02-25,462
"57",2014-02-26,421
"58",2014-02-27,67
"59",2014-02-28,169
"60",2014-03-01,142
"61",2014-03-02,208
"62",2014-03-03,295
"63",2014-03-04,95
"64",2014-03-05,78
"65",2014-03-06,62
"66",2014-03-07,131
"67",2014-03-08,227
"68",2014-03-09,188
"69",2014-03-10,173
"70",2014-03-11,253
"71",2014-03-12,61
"72",2014-03-13,73
"73",2014-03-14,72
"74",2014-03-15,180
"75",2014-03-16,188
"76",2014-03-17,145
"77",2014-03-18,106
"78",2014-03-19,134
"79",2014-03-20,42
"80",2014-03-21,78
"81",2014-03-22,131
"82",2014-03-23,207
"83",2014-03-24,293
"84",2014-03-25,278
"85",2014-03-26,354
"86",2014-03-27,321
"87",2014-03-28,207
"88",2014-03-29,103
"89",2014-03-30,93
"90",2014-03-31,206
"91",2014-04-01,201
"92",2014-04-02,178
"93",2014-04-03,78
"94",2014-04-04,95
"95",2014-04-05,75
"96",2014-04-06,138
"97",2014-04-07,169
