"","date","data"
"1",2014-08-02,32
"2",2014-08-03,21
"3",2014-08-04,27
"4",2014-08-05,89
"5",2014-08-06,100
"6",2014-08-07,82
"7",2014-08-08,47
"8",2014-08-09,51
"9",2014-08-10,33
"10",2014-08-11,48
"11",2014-08-12,113
"12",2014-08-13,147
"13",2014-08-14,73
"14",2014-08-15,76
"15",2014-08-16,84
"16",2014-08-17,84
"17",2014-08-18,19
"18",2014-08-19,33
"19",2014-08-20,69
"20",2014-08-21,42
"21",2014-08-22,114
"22",2014-08-23,154
"23",2014-08-24,119
"24",2014-08-25,109
"25",2014-08-26,36
"26",2014-08-27,22
"27",2014-08-28,34
"28",2014-08-29,62
"29",2014-08-30,54
"30",2014-08-31,62
"31",2014-09-01,76
"32",2014-09-02,52
"33",2014-09-03,22
"34",2014-09-04,38
"35",2014-09-05,68
"36",2014-09-06,84
"37",2014-09-07,102
"38",2014-09-08,114
"39",2014-09-09,117
"40",2014-09-10,64
"41",2014-09-11,84
"42",2014-09-12,87
"43",2014-09-13,56
"44",2014-09-14,33
"45",2014-09-15,82
"46",2014-09-16,62
"47",2014-09-17,81
"48",2014-09-18,49
"49",2014-09-19,62
"50",2014-09-20,72
"51",2014-09-21,75
"52",2014-09-22,74
"53",2014-09-23,62
"54",2014-09-24,48
"55",2014-09-25,47
"56",2014-09-26,60
"57",2014-09-27,74
"58",2014-09-28,91
"59",2014-09-29,101
"60",2014-09-30,52
"61",2014-10-01,49
"62",2014-10-02,77
"63",2014-10-03,66
"64",2014-10-04,50
"65",2014-10-05,44
"66",2014-10-06,45
"67",2014-10-07,72
"68",2014-10-08,80
"69",2014-10-09,94
"70",2014-10-10,92
"71",2014-10-11,72
"72",2014-10-12,71
"73",2014-10-13,47
"74",2014-10-14,43
"75",2014-10-15,77
"76",2014-10-16,64
"77",2014-10-17,66
"78",2014-10-18,78
"79",2014-10-19,111
"80",2014-10-20,83
"81",2014-10-21,43
"82",2014-10-22,46
"83",2014-10-23,66
"84",2014-10-24,93
"85",2014-10-25,105
"86",2014-10-26,84
"87",2014-10-27,64
"88",2014-10-28,97
"89",2014-10-29,107
"90",2014-10-30,123
"91",2014-10-31,76
"92",2014-11-01,87
"93",2014-11-02,98
"94",2014-11-03,58
"95",2014-11-04,63
"96",2014-11-05,71
"97",2014-11-06,101
"98",2014-11-07,78
"99",2014-11-08,102
"100",2014-11-09,101
"101",2014-11-10,99
"102",2014-11-11,127
"103",2014-11-12,66
"104",2014-11-13,40
"105",2014-11-14,63
"106",2014-11-15,70
"107",2014-11-16,91
"108",2014-11-17,85
"109",2014-11-18,87
"110",2014-11-19,111
"111",2014-11-20,122
"112",2014-11-21,120
"113",2014-11-22,101
"114",2014-11-23,126
"115",2014-11-24,130
"116",2014-11-25,76
"117",2014-11-26,69
"118",2014-11-27,103
"119",2014-11-28,71
"120",2014-11-29,46
"121",2014-11-30,43
"122",2014-12-01,51
"123",2014-12-02,49
"124",2014-12-03,57
"125",2014-12-04,59
"126",2014-12-05,53
"127",2014-12-06,55
"128",2014-12-07,81
"129",2014-12-08,84
"130",2014-12-09,97
"131",2014-12-10,108
"132",2014-12-11,94
"133",2014-12-12,90
"134",2014-12-13,64
"135",2014-12-14,76
"136",2014-12-15,98
"137",2014-12-16,69
"138",2014-12-17,33
"139",2014-12-18,59
"140",2014-12-19,96
"141",2014-12-20,70
"142",2014-12-21,54
"143",2014-12-22,72
"144",2014-12-23,103
"145",2014-12-24,108
"146",2014-12-25,68
"147",2014-12-26,80
"148",2014-12-27,110
"149",2014-12-28,122
"150",2014-12-29,105
"151",2014-12-30,88
"152",2014-12-31,71
"153",2015-01-01,54
"154",2015-01-02,61
"155",2015-01-03,84
"156",2015-01-04,98
"157",2015-01-05,132
"158",2015-01-06,59
"159",2015-01-07,59
"160",2015-01-08,83
"161",2015-01-09,95
"162",2015-01-10,82
"163",2015-01-11,89
"164",2015-01-12,92
"165",2015-01-13,111
"166",2015-01-14,131
"167",2015-01-15,120
"168",2015-01-16,146
"169",2015-01-17,74
"170",2015-01-18,70
"171",2015-01-19,121
"172",2015-01-20,94
"173",2015-01-21,113
"174",2015-01-22,100
"175",2015-01-23,93
"176",2015-01-24,106
"177",2015-01-25,124
"178",2015-01-26,100
"179",2015-01-27,98
"180",2015-01-28,73
"181",2015-01-29,97
"182",2015-01-30,79
"183",2015-01-31,77
"184",2015-02-01,71
"185",2015-02-02,91
"186",2015-02-03,119
"187",2015-02-04,148
"188",2015-02-05,159
"189",2015-02-06,106
"190",2015-02-07,93
"191",2015-02-08,55
"192",2015-02-09,68
"193",2015-02-10,133
"194",2015-02-11,133
"195",2015-02-12,63
"196",2015-02-13,69
"197",2015-02-14,104
"198",2015-02-15,139
"199",2015-02-16,96
"200",2015-02-17,126
"201",2015-02-18,139
"202",2015-02-19,138
"203",2015-02-20,117
"204",2015-02-21,66
"205",2015-02-22,92
"206",2015-02-23,180
"207",2015-02-24,99
"208",2015-02-25,102
"209",2015-02-26,74
"210",2015-02-27,72
"211",2015-02-28,90
"212",2015-03-01,103
"213",2015-03-02,94
"214",2015-03-03,93
"215",2015-03-04,70
"216",2015-03-05,100
"217",2015-03-06,102
"218",2015-03-07,103
"219",2015-03-08,145
"220",2015-03-09,106
"221",2015-03-10,48
"222",2015-03-11,74
"223",2015-03-12,59
"224",2015-03-13,85
"225",2015-03-14,78
"226",2015-03-15,92
"227",2015-03-16,120
"228",2015-03-17,167
"229",2015-03-18,135
"230",2015-03-19,101
"231",2015-03-20,131
"232",2015-03-21,155
"233",2015-03-22,121
"234",2015-03-23,56
"235",2015-03-24,77
"236",2015-03-25,85
"237",2015-03-26,87
"238",2015-03-27,99
"239",2015-03-28,89
"240",2015-03-29,110
"241",2015-03-30,149
"242",2015-03-31,164
"243",2015-04-01,67
"244",2015-04-02,61
"245",2015-04-03,73
"246",2015-04-04,38
"247",2015-04-05,46
"248",2015-04-06,82
"249",2015-04-07,76
"250",2015-04-08,67
"251",2015-04-09,99
"252",2015-04-10,100
"253",2015-04-11,115
"254",2015-04-12,100
"255",2015-04-13,63
"256",2015-04-14,65
"257",2015-04-15,85
"258",2015-04-16,107
"259",2015-04-17,72
"260",2015-04-18,74
"261",2015-04-19,62
"262",2015-04-20,33
"263",2015-04-21,82
"264",2015-04-22,116
"265",2015-04-23,120
"266",2015-04-24,111
"267",2015-04-25,77
"268",2015-04-26,68
"269",2015-04-27,90
"270",2015-04-28,85
"271",2015-04-29,95
"272",2015-04-30,73
"273",2015-05-01,93
"274",2015-05-02,85
"275",2015-05-03,69
"276",2015-05-04,64
"277",2015-05-05,55
"278",2015-05-06,68
"279",2015-05-07,73
"280",2015-05-08,98
"281",2015-05-09,78
"282",2015-05-10,73
"283",2015-05-11,82
"284",2015-05-12,62
"285",2015-05-13,85
"286",2015-05-14,99
"287",2015-05-15,149
"288",2015-05-16,91
"289",2015-05-17,110
"290",2015-05-18,88
"291",2015-05-19,104
"292",2015-05-20,74
"293",2015-05-21,80
"294",2015-05-22,100
"295",2015-05-23,89
"296",2015-05-24,69
"297",2015-05-25,87
"298",2015-05-26,84
"299",2015-05-27,80
"300",2015-05-28,87
"301",2015-05-29,93
"302",2015-05-30,90
"303",2015-05-31,88
"304",2015-06-01,82
"305",2015-06-02,84
"306",2015-06-03,64
"307",2015-06-04,71
"308",2015-06-05,73
"309",2015-06-06,74
"310",2015-06-07,72
"311",2015-06-08,81
"312",2015-06-09,96
"313",2015-06-10,100
"314",2015-06-11,87
"315",2015-06-12,90
"316",2015-06-13,118
"317",2015-06-14,69
"318",2015-06-15,84
"319",2015-06-16,98
"320",2015-06-17,89
"321",2015-06-18,72
"322",2015-06-19,56
"323",2015-06-20,88
"324",2015-06-21,58
"325",2015-06-22,78
"326",2015-06-23,79
"327",2015-06-24,93
"328",2015-06-25,92
"329",2015-06-26,36
"330",2015-06-27,33
"331",2015-06-28,60
"332",2015-06-29,65
"333",2015-06-30,79
"334",2015-07-01,75
"335",2015-07-02,104
"336",2015-07-03,95
"337",2015-07-04,76
"338",2015-07-05,85
"339",2015-07-06,75
"340",2015-07-07,85
"341",2015-07-08,26
"342",2015-07-09,28
"343",2015-07-10,46
"344",2015-07-11,73
"345",2015-07-12,30
"346",2015-07-13,57
"347",2015-07-14,127
"348",2015-07-15,106
"349",2015-07-16,21
"350",2015-07-17,24
"351",2015-07-18,64
"352",2015-07-19,68
"353",2015-07-20,62
"354",2015-07-21,63
"355",2015-07-22,79
"356",2015-07-23,72
"357",2015-07-24,42
"358",2015-07-25,52
"359",2015-07-26,46
"360",2015-07-27,66
"361",2015-07-28,90
"362",2015-07-29,83
"363",2015-07-30,147
"364",2015-07-31,130
"365",2015-08-01,111
"366",2015-08-02,79
"367",2015-08-03,78
"368",2015-08-04,68
"369",2015-08-05,82
"370",2015-08-06,84
"371",2015-08-07,95
"372",2015-08-08,82
"373",2015-08-09,56
"374",2015-08-10,69
"375",2015-08-11,119
"376",2015-08-12,111
"377",2015-08-13,89
"378",2015-08-14,86
"379",2015-08-15,126
"380",2015-08-16,138
"381",2015-08-17,70
"382",2015-08-18,58
"383",2015-08-19,80
"384",2015-08-20,83
"385",2015-08-21,80
"386",2015-08-22,92
"387",2015-08-23,87
"388",2015-08-24,74
"389",2015-08-25,17
"390",2015-08-26,24
"391",2015-08-27,51
"392",2015-08-28,67
"393",2015-08-29,82
"394",2015-08-30,83
"395",2015-08-31,86
"396",2015-09-01,73
"397",2015-09-02,68
"398",2015-09-03,65
"399",2015-09-04,77
"400",2015-09-05,81
"401",2015-09-06,37
"402",2015-09-07,29
"403",2015-09-08,32
